model,coef,se,pvalue,stars,N,note
A  Standard TWFE,-0.5099401769235162,0.027615365252702917,0.0,***,45400,"reference, biased"
B  Detrended TWFE (2-step),-0.08614235616218972,0.0157624705221078,4.652835761120855e-08,***,45400,main specification
B1 Unit linear trend (1-step),-0.08728480738123669,0.01581046000406694,3.3952077593824015e-08,***,45400,reviewer response: post-hoc
B2 Unit quadratic trend,0.06490207150137528,0.018079187922808864,0.00033118827543709983,***,45400,functional form (over-corrects)
B3 Category trend,-0.08728480738123665,0.01577561694228317,3.1674174172380276e-08,***,45400,intermediate
B4 B1+macro controls,-0.08728480738123662,0.01581046000406694,3.3952077593824015e-08,***,45400,macro confounders
B6a mortgage,-0.14161095474760055,0.014314362289473847,0.0,***,,high interest-rate sensitivity
B6b root_mortgage,-0.030673757576778787,0.021577052492959544,0.15515409256564427,,,low interest-rate sensitivity
