model,estimator,coef,se,pvalue,N,R2
A  標準TWFE コア,TWFE,-0.5099401769235162,0.027615365252702917,0.0,45400,0.09332137376612493
A  標準TWFE 拡張6系列,TWFE,-0.39987162961452494,0.03319677762237049,0.0,58767,0.010850591328345982
B  トレンド除去 コア,TWFE,-0.08614235616218965,0.015762470522107795,4.652835761120855e-08,45400,0.004373681233654003
B  トレンド除去 拡張,TWFE,0.0455839533885264,0.04691871464694314,0.3312776924218319,58767,0.00015724269039707472
G3 大都市除外,TWFE,-0.0895109061992347,0.016238576852289115,3.563210260182359e-08,43584,0.0046328569554554555
G2 large only,TWFE,-0.056145859612353764,0.019118994062933277,0.0033227403257811705,15436,0.0028634045526554353
E FD impact,FD,-0.13919597582081378,0.034112095766557,4.500782648042545e-05,45200,
F C&S Overall,C&S-DR,-0.10054607127755016,0.013493395717558246,,45400,
