block_name,block,coef,se,pvalue,stars,N,R2,n_bureaus
Hokkaido,51,-0.06854920497149676,0.05760421780432337,0.2341284799784329,,3632,0.00201573269595845,4
Tohoku,52,0.02034946284793378,0.06016899175865176,0.735222256917365,,5448,0.000201107762359376,6
Kanto,53,-0.09940636309607764,0.019446549450644564,3.2522351989250353e-07,***,9988,0.00798634263074971,11
Chubu,54,-0.1345986130812907,0.0470861979799283,0.004272650804671763,***,5448,0.009515225693822349,6
Kinki,55,-0.053725167373171755,0.0257325294402425,0.03686167600042389,**,5448,0.0021736590154080027,6
Chugoku,56,-0.17280953409047872,0.04711613084116863,0.00024767283071347457,***,4540,0.017918021587718158,5
Shikoku,57,-0.19054396187651698,0.061384880608173965,0.0019244240369804544,***,3632,0.026503596902833326,4
Kyushu,58,-0.03817269632112621,0.04217640663031267,0.3654582254432186,,7264,0.001022159302881298,8
