rel_month,coef,se,ci_lo,ci_hi,kind
-12,-0.13169849462370178,0.06840014278128344,-0.2657627744750173,0.0023657852276137425,monthly
-11,-0.1272508592163623,0.0798322740092257,-0.28372211627444466,0.029220397841720064,monthly
-10,0.049329609775412085,0.056269950104605504,-0.0609594924296147,0.15961871198043887,monthly
-9,-0.15417540633368024,0.06632198347714462,-0.2841664939488837,-0.02418431871847679,monthly
-8,-0.20829432347390986,0.06393855594706532,-0.3336138931301579,-0.08297475381766184,monthly
-7,0.04335563513320239,0.10977329914104053,-0.17180003118323703,0.2585113014496418,monthly
-6,-0.07112929091614394,0.07345574154312369,-0.2151025443406664,0.0728439625083785,monthly
-5,-0.13963525761906972,0.03772152995414713,-0.2135694563291981,-0.06570105890894135,monthly
-4,-0.07882716955229745,0.06073769666684913,-0.19787305501932173,0.04021871591472685,monthly
-3,-0.0893427015481394,0.045317000753210976,-0.1781640230244329,-0.0005213800718458922,monthly
-2,-0.10542148529845444,0.07199338280241474,-0.24652851559118732,0.03568554499427845,monthly
-1,-0.002538913746312685,0.06207378217221023,-0.12420352680384474,0.11912569931121937,monthly
1,-0.13585836698096193,0.0480944598832353,-0.23012350835210313,-0.04159322560982073,monthly
2,-0.1572193762581012,0.07120271075023164,-0.2967766893285552,-0.01766206318764718,monthly
3,-0.14437119946651206,0.07698355848144058,-0.2952589740901356,0.006516575157111459,monthly
4,-0.248367726500315,0.08882063508449663,-0.4224561712659284,-0.07427928173470161,monthly
5,-0.07367701286537379,0.07349285363490624,-0.21772300598979,0.07036898025904242,monthly
6,-0.04950331019366642,0.07630000374355081,-0.199051317531026,0.10004469714369318,monthly
7,-0.1615218650373949,0.0679718171242604,-0.2947466266009453,-0.028297103473844537,monthly
8,-0.06313859323341561,0.042488159420856375,-0.1464153856982941,0.020138199231462886,monthly
9,-0.11812980390360085,0.058840602400836856,-0.2334573846092411,-0.0028022231979606127,monthly
10,-0.058003887537594945,0.05693378542493807,-0.16959410697047356,0.05358633189528367,monthly
11,0.02748320589574313,0.04672252858669918,-0.06409295013418727,0.11905936192567353,monthly
12,-0.13390413467897672,0.06750962318303973,-0.2662229961177346,-0.001585273240218843,monthly
13,-0.1416005253839701,0.04168398039829319,-0.22330112696462479,-0.05989992380331545,monthly
14,-0.028898567346746774,0.05774006482881314,-0.14206909441122054,0.08427195971772698,monthly
15,-0.07270271677961568,0.06758253406206424,-0.2051644835412616,0.05975904998203024,monthly
16,-0.0893826628282381,0.06210469534682989,-0.2111078657080247,0.03234254005154848,monthly
17,0.11924808698775849,0.06786810085858774,-0.013773390695073495,0.2522695646705905,monthly
18,-0.04177241657973756,0.061284357081985645,-0.1618897564604294,0.0783449233009543,monthly
19,0.016814788849220642,0.040894137372687926,-0.06333772040124769,0.09696729809968899,monthly
20,0.12633690489285712,0.0556370665111141,0.01728825453107348,0.23538555525464078,monthly
21,-0.03659205502685081,0.031178232091911263,-0.0977013899269969,0.024517279873295265,monthly
22,0.013548732100173868,0.05596233356218582,-0.09613744168171034,0.12323490588205807,monthly
23,0.011424696229451371,0.045018752348887865,-0.07681205837436884,0.09966145083327159,monthly
24,-0.03491859257022877,0.036392581671463795,-0.1062480526462978,0.036410867505840265,monthly
25,0.005880597869543473,0.04754356804701691,-0.08730479550260967,0.09906599124169663,monthly
