tnum,att,se,ci_lo,ci_hi,post,rel_month
200701,0.586538394740167,0.06185284984006707,0.46530680905363553,0.7077699804266985,0,-203
200702,0.5255225211375637,0.06098251379860029,0.40599679409230716,0.6450482481828202,0,-202
200703,0.6638665592305499,0.06769822014390955,0.5311780477484872,0.7965550707126127,0,-201
200704,0.9031568115283767,0.06940772276175894,0.7671176749153292,1.0391959481414241,0,-200
200705,0.6957964274849544,0.06295957586736571,0.5723956587849176,0.8191971961849912,0,-199
200706,0.7168531214058383,0.0574004177273596,0.6043483026602136,0.8293579401514631,0,-198
200707,0.7673579912589508,0.0596242194616638,0.6504945211140898,0.8842214614038117,0,-197
200708,0.6992514080625543,0.054776541086770436,0.5918893875324842,0.8066134285926243,0,-196
200709,0.7154749992796342,0.05554068897553734,0.606615248887581,0.8243347496716874,0,-195
200710,0.6736310968833101,0.05152144724999997,0.5726490602733102,0.7746131334933101,0,-194
200711,0.6069993034161026,0.05514786967880133,0.49890947884565207,0.7150891279865532,0,-193
200712,0.7058349287999405,0.05953945988910704,0.5891375874172907,0.8225322701825902,0,-192
200801,0.5457887494549456,0.06175306995328217,0.42475273234651256,0.6668247665633786,0,-191
200802,0.5319418165698327,0.05604511126471258,0.4220933984909961,0.6417902346486694,0,-190
200803,0.6530923860845186,0.06386690405025022,0.5279132541460282,0.778271518023009,0,-189
200804,0.8501336205731796,0.0612855972587135,0.7300138499461012,0.9702533912002581,0,-188
200805,0.6893736665041724,0.055853958393118505,0.5798999080536602,0.7988474249546846,0,-187
200806,0.6797137121472228,0.04995901952950171,0.5817940338693994,0.7776333904250461,0,-186
200807,0.7117099666433097,0.053339842683502656,0.6071638749836444,0.8162560583029749,0,-185
200808,0.6934895607915794,0.048907990658716004,0.597629899100496,0.7893492224826628,0,-184
200809,0.7626435508891387,0.05634821802779241,0.6522010435546656,0.8730860582236118,0,-183
200810,0.6756259072839491,0.04977618307636722,0.5780645884542693,0.7731872261136289,0,-182
200811,0.6310276670248269,0.05280956213223956,0.5275209252456374,0.7345344088040164,0,-181
200812,0.6280117494046001,0.05633282083890054,0.5175994205603551,0.7384240782488452,0,-180
200901,0.6629458847232105,0.056989742814162025,0.5512459888074529,0.774645780638968,0,-179
200902,0.5430367791843069,0.052653821760301464,0.4398352885341161,0.6462382698344978,0,-178
200903,0.6308498117108161,0.05849254945671034,0.5162044147756638,0.7454952086459684,0,-177
200904,0.882412871106875,0.06179142637385373,0.7613016754141217,1.0035240667996284,0,-176
200905,0.7066813738001929,0.05645549581970613,0.5960286019935689,0.8173341456068169,0,-175
200906,0.6826571703062767,0.05252014540518924,0.5797176853121058,0.7855966553004476,0,-174
200907,0.6566466299525249,0.053705153881443646,0.5513845283448954,0.7619087315601544,0,-173
