rel_month,coef,se,ci_lo,ci_hi,kind
-12,-0.27710902269988935,0.07838007795269701,-0.4307339754871755,-0.12348406991260322,monthly
-11,-0.23396859772711273,0.08879698211046917,-0.4080106826636323,-0.05992651279059316,monthly
-10,-0.11920975189728862,0.10341068485207713,-0.3218946942073598,0.08347519041278255,monthly
-9,-0.09166273858123006,0.09072697542855597,-0.26948761042119973,0.08616213325873964,monthly
-8,-0.2089179993475379,0.06960687797856469,-0.3453474801855247,-0.07248851850955113,monthly
-7,0.0016002434525618768,0.06539183915352215,-0.12656776128834152,0.12976824819346527,monthly
-6,-0.05887450903838556,0.06931326765984736,-0.1947285136516864,0.07697949557491526,monthly
-5,-0.23947526715171913,0.052347349055450236,-0.3420760713004016,-0.13687446300303668,monthly
-4,-0.08163706390820741,0.06265925550984182,-0.2044492047074974,0.04117507689108256,monthly
-3,-0.20471223049048057,0.054479060924253225,-0.3114911899020169,-0.09793327107894424,monthly
-2,-0.1917252307370957,0.06763172759612517,-0.324283416825501,-0.05916704464869035,monthly
-1,-0.0961048770897436,0.08478213490211986,-0.26227786149789856,0.07006810731841132,monthly
1,-0.23729336006772486,0.06323409322741154,-0.3612321827934515,-0.11335453734199825,monthly
2,-0.1651077594544914,0.07221063876718288,-0.30664061143816984,-0.023574907470812978,monthly
3,-0.15562089015629602,0.10049562170991347,-0.3525923087077264,0.04135052839513437,monthly
4,-0.3681319450340091,0.07486905512312199,-0.5148752930753282,-0.22138859699269,monthly
5,-0.15069723037461924,0.07303477585717122,-0.29384539105467483,-0.007549069694563648,monthly
6,-0.09004477429562822,0.1895619742706446,-0.46158624386609165,0.2814966952748352,monthly
7,-0.24302248527289874,0.07158263516737995,-0.38332445020096345,-0.10272052034483403,monthly
8,-0.2505936861494149,0.07768070607300608,-0.4028478700525068,-0.09833950224632301,monthly
9,-0.23768128634558697,0.059734284824264745,-0.35476048460114584,-0.12060208809002806,monthly
10,-0.07683167164865241,0.09744794946915308,-0.26782965260819247,0.11416630931088763,monthly
11,-0.0025362138459724608,0.11062450286190367,-0.21936023945530367,0.21428781176335873,monthly
12,-0.2632642121181082,0.05499614080653557,-0.3710566480989179,-0.15547177613729846,monthly
13,-0.21194736467225275,0.08327924514256793,-0.3751746851516859,-0.04872004419281961,monthly
14,-0.07786022958186124,0.10240738477495231,-0.27857870374076776,0.12285824457704529,monthly
15,-0.1648232739640368,0.1279579881021997,-0.4156209306443482,0.08597438271627461,monthly
16,0.19863287196036725,0.2054705891381349,-0.20408948275037717,0.6013552266711116,monthly
17,0.08634885313299535,0.07214931354749214,-0.05506380142008925,0.22776150768607994,monthly
18,-0.10557606511804621,0.07924552739476,-0.2608972988117758,0.049745168575683396,monthly
19,-0.15188584218683027,0.06999877448890132,-0.28908344018507687,-0.014688244188583666,monthly
20,-0.17337426027194058,0.053124392624700534,-0.2774980698163536,-0.06925045072752754,monthly
21,-0.23744865075746716,0.07131347962140402,-0.37722307081541906,-0.09767423069951528,monthly
22,-0.19724486272441868,0.06391193215551617,-0.3225122497492304,-0.071977475699607,monthly
23,-0.08125737035135464,0.059839494482287384,-0.1985427795366379,0.03602803883392863,monthly
24,0.008106491951914851,0.16499748082263524,-0.31528857046045017,0.3315015543642799,monthly
25,-0.23880479349981198,0.06948735001891325,-0.37499999953688196,-0.10260958746274201,monthly
