rel_month,coef,se,ci_lo,ci_hi,kind
-12,-0.21312657870918622,0.05298406311014607,-0.3169753424050725,-0.10927781501329992,monthly
-11,0.02782528205256379,0.08564537254366664,-0.1400396481330228,0.1956902122381504,monthly
-10,-0.13319324510134825,0.10395886099653494,-0.3369526126545567,0.07056612245186022,monthly
-9,-0.0832950745335774,0.13960962450380615,-0.3569299385610375,0.19033978949388267,monthly
-8,-0.22610374300694588,0.07278747390313897,-0.3687671918570983,-0.08344029415679349,monthly
-7,-0.015605978463772454,0.07147183125897055,-0.15569076773135473,0.12447881080380982,monthly
-6,-0.18511146427044742,0.06883440554630063,-0.32002689914119664,-0.050196029399698194,monthly
-5,-0.13799997903493516,0.13899101203759737,-0.41042236262862597,0.13442240455875565,monthly
-4,-0.24183417208570762,0.08634223842990026,-0.4110649594083121,-0.07260338476310313,monthly
-3,-0.3365751415200246,0.08443035792208795,-0.502058643047317,-0.17109163999273222,monthly
-2,-0.17145217376442257,0.10223152912314627,-0.3718259708457893,0.028921623316944117,monthly
-1,-0.1655401664588326,0.09321829738145067,-0.3482480293264759,0.017167696408810718,monthly
1,-0.28980842926311695,0.11126452811633623,-0.5078869043711359,-0.07172995415509795,monthly
2,-0.1512180958188823,0.15651385963187853,-0.45798526069736417,0.1555490690595996,monthly
3,-0.27919402628083595,0.1364706160407413,-0.5466764337206889,-0.01171161884098304,monthly
4,-0.4098358731510355,0.12154743760825641,-0.6480688508632181,-0.1716028954388529,monthly
5,-0.12823389856679074,0.1372819080886634,-0.39730643842057095,0.14083864128698947,monthly
6,-0.3414637751102409,0.10230540194849044,-0.5419823629292821,-0.14094518729119962,monthly
7,-0.21180921445422907,0.11608642053136585,-0.43933859869570613,0.015720169787247995,monthly
8,-0.1067905073009667,0.08483626108074216,-0.27306957901922135,0.05948856441728792,monthly
9,-0.08326838042882359,0.13486782671049818,-0.34760932078140006,0.18107255992375285,monthly
10,-0.10866680774584511,0.10219220608694209,-0.30896353167625157,0.09162991618456137,monthly
11,-0.17919412066353368,0.09084805536742596,-0.35725630918368856,-0.001131932143378811,monthly
12,-0.18911363954475205,0.0664985994653261,-0.3194508944967912,-0.058776384592712894,monthly
13,-0.2478388360923542,0.08385341049150978,-0.41219152065571335,-0.08348615152899502,monthly
14,-0.1745292685615116,0.09833346115405983,-0.3672628524234689,0.018204315300445667,monthly
15,-0.3823306819329461,0.1322175371392381,-0.6414770547258528,-0.12318430914003947,monthly
16,-0.24763582851439267,0.09707941430762575,-0.43791148055733914,-0.0573601764714462,monthly
17,0.10405406951155001,0.051280341546126276,0.0035446000811425044,0.2045635389419575,monthly
18,-0.23861288326866775,0.08893447798348819,-0.41292446011630457,-0.06430130642103091,monthly
19,-0.17106510720866816,0.0889909457406014,-0.3454873608602469,0.0033571464429105746,monthly
20,-0.2165981991166493,0.07878842877639763,-0.37102351951838863,-0.062172878714909924,monthly
21,-0.19928382457556099,0.0725766767877722,-0.3415341110795945,-0.05703353807152747,monthly
22,-0.18733037229095373,0.10479531072535367,-0.3927291813126469,0.018068436730739462,monthly
23,-0.07614121622102688,0.10686550574392058,-0.2855976074791112,0.13331517503705745,monthly
24,-0.2391139396617198,0.08435773257755606,-0.40445509551372966,-0.07377278380970992,monthly
25,-0.24149852170253452,0.08695037491465266,-0.4119212565352537,-0.07107578686981533,monthly
