rel_month,coef,se,ci_lo,ci_hi,kind
-12,-0.163432046413287,0.109023717568566,-0.3771185328476764,0.05025444002110235,monthly
-11,-0.029101560804536276,0.0751536076132832,-0.17640263172657134,0.1181995101174988,monthly
-10,-0.05765620138874145,0.10394447028237486,-0.2613873631421962,0.14607496036471326,monthly
-9,-0.050917586717129794,0.1554785289327592,-0.35565550342533786,0.25382032999107823,monthly
-8,-0.16888304408954558,0.08468992509737992,-0.3348752972804102,-0.0028907908986809394,monthly
-7,0.30739742435641293,0.10864499622214481,0.09445323176100912,0.5203416169518167,monthly
-6,-0.0655066428802676,0.13345346775403363,-0.3270754396781735,0.19606215391763832,monthly
-5,-0.02054652805070768,0.08677218950508617,-0.19062001948067656,0.14952696337926122,monthly
-4,0.0019144523978517308,0.07135639047450408,-0.13794407293217625,0.14177297772787972,monthly
-3,0.03512032590561989,0.0925740108020751,-0.1463247352664473,0.21656538707768708,monthly
-2,-0.15367433380353723,0.09708745482860022,-0.34396574526759366,0.03661707766051919,monthly
-1,0.12988370058323184,0.08093971335010543,-0.028758137582974796,0.2885255387494385,monthly
1,0.04931319183113198,0.11577595454612467,-0.17760767907927238,0.27623406274153633,monthly
2,-0.2688137599534017,0.11919672949665924,-0.5024393497668538,-0.03518817013994957,monthly
3,-0.11332904305705038,0.13518523453384318,-0.378292102743383,0.15163401662928222,monthly
4,-0.24749003633003358,0.12293519900470881,-0.48844302637926285,-0.006537046280804315,monthly
5,-0.018500609287559415,0.08890564082994508,-0.19275566531425178,0.15575444673913294,monthly
6,0.08182648106159314,0.09060376209856784,-0.09575689265159983,0.2594098547747861,monthly
7,0.02834278751162412,0.11053501687671112,-0.1883058455667297,0.24499142058997792,monthly
8,0.10026028987760421,0.08046587094193537,-0.057452817168589104,0.2579733969237975,monthly
9,0.13930739473676101,0.09980249627382429,-0.056305497959934586,0.3349202874334566,monthly
10,-0.08219419027583869,0.1062947765282598,-0.2905319522712279,0.12614357171955054,monthly
11,0.10963595192137054,0.08589582216121065,-0.05871985951460232,0.27799176335734344,monthly
12,0.023995177638703957,0.08264343810990318,-0.13798596105670627,0.18597631633411418,monthly
13,0.022957491376310774,0.08395879437053408,-0.14160174558993602,0.1875167283425576,monthly
14,0.14437008967712614,0.13868087318738198,-0.12744442177014256,0.4161846011243948,monthly
15,-0.09189434356819744,0.10113257202302038,-0.2901141847333174,0.10632549759692252,monthly
16,-0.006507335776603884,0.1287362556185667,-0.2588303967889946,0.24581572523578682,monthly
17,0.23627780335735254,0.08279472219288879,0.07400014785929052,0.39855545885541455,monthly
18,-0.027502901071778916,0.1072868111468328,-0.2377850509195712,0.18277924877601337,monthly
19,-0.015253883557623863,0.12151391113020736,-0.2534211493728303,0.22291338225758256,monthly
20,0.09860392939919847,0.09864523325541508,-0.09474072778141508,0.29194858657981204,monthly
21,-0.09094063490640035,0.14945565278137743,-0.38387371435790013,0.2019924445450994,monthly
22,0.008625695557174044,0.11865902695131254,-0.22394599726739853,0.24119738838174662,monthly
23,0.13359669326387666,0.1226216204460087,-0.10674168281030039,0.3739350693380537,monthly
24,0.09302273681491037,0.10617124593719557,-0.11507290522199294,0.3011183788518137,monthly
25,0.17189367900454922,0.16469086073301442,-0.15090040803215904,0.49468776604125747,monthly
