quarter,syn_deals_total,syn_deals_term,syn_deals_commit,syn_amount_total,syn_amount_term,syn_amount_commit,syn_outstanding_total,syn_outstanding_term,syn_outstanding_commit,perf_n_total,perf_n_sale,perf_n_trust,perf_n_participation,perf_amt_total,perf_amt_sale,perf_amt_trust,perf_amt_participation,nperf_n_total,nperf_n_sale,nperf_n_trust,nperf_n_participation,nperf_amt_total,nperf_amt_sale,nperf_amt_trust,nperf_amt_participation,syn_deals_term_listed,syn_deals_term_private,syn_deals_commit_listed,syn_deals_commit_private,syn_amt_term_listed,syn_amt_term_private,syn_amt_commit_listed,syn_amt_commit_private,syn_out_term_listed,syn_out_term_private,syn_out_commit_listed,syn_out_commit_private,perf_n_to_fi,perf_n_to_spc,perf_amt_to_fi,perf_amt_to_spc,date,year,qnum,t,share_term,share_commit,share_private,share_listed,trans_n_total,trans_amt_total,perf_spc_share,syn_avg_size,perf_avg_size,ln_syn_deals_total,ln_syn_deals_term,ln_syn_deals_commit,ln_syn_amount_total,ln_syn_amount_term,ln_syn_amount_commit,ln_syn_outstanding_total,ln_perf_n_total,ln_perf_amt_total,ln_nperf_n_total,ln_nperf_amt_total,ln_trans_n_total,ln_trans_amt_total,ln_syn_deals_term_listed,ln_syn_deals_term_private,ln_syn_amt_term_listed,ln_syn_amt_term_private,ln_syn_avg_size,ln_perf_avg_size,post,transition,post_incl_trans,Q1,Q2,Q3,Q4,t_post
2010.Ⅱ,214.0,116.0,98.0,39426.0,18846.0,20580.0,573691.0,379589.0,194102.0,212.0,199.0,5.0,8.0,3287.0,2992.0,186.0,109.0,102.0,102.0,0.0,0.0,510.0,510.0,0.0,0.0,33.0,83.0,63.0,35.0,4242.0,14604.0,18378.0,2202.0,177454.0,202135.0,160836.0,33266.0,199.0,0.0,2992.0,0.0,2010-04-01,2010,2,28,0.47800943539796076,0.5219905646020393,0.426266930451986,0.573733069548014,314.0,3797.0,0.0,184.2336448598131,15.504716981132075,5.365976015021851,4.7535901911063645,4.584967478670572,10.582180776125924,9.844055968766702,9.93207500938804,13.259846202825285,5.356586274672012,8.097730573664219,4.624972813284271,6.234410725718371,5.749392985908253,8.241966560231802,3.4965075614664802,4.418840607796598,8.352790135124629,9.589050742775527,5.216204761104072,2.741144298992207,0,0,0,0,1,0,0,0
2010.Ⅲ,686.0,407.0,279.0,63696.0,30569.0,33127.0,570576.0,384129.0,186447.0,351.0,322.0,8.0,21.0,5438.0,4865.0,209.0,364.0,786.0,786.0,0.0,0.0,4355.0,4355.0,0.0,0.0,129.0,278.0,148.0,131.0,14033.0,16536.0,26556.0,6571.0,181247.0,202882.0,153907.0,32540.0,321.0,0.0,4815.0,0.0,2010-07-01,2010,3,29,0.4799202461693042,0.5200797538306958,0.36277003265511176,0.6372299673448882,1137.0,9793.0,0.0,92.85131195335276,15.492877492877493,6.530877627725885,6.008813185442595,5.631211781821365,11.061877045240099,10.327741702540875,10.408103938824375,13.254401655888515,5.860786223465865,8.601166625192416,6.666956792429207,8.379079889286603,7.036148493750536,9.189423123720795,4.859812404361672,5.627621113690637,9.549166977751137,9.713295101361604,4.530999417514213,2.7403804017265503,0,0,0,0,0,1,0,0
2010.Ⅳ,292.0,163.0,129.0,42360.0,15866.0,26494.0,559769.0,377760.0,182009.0,235.0,230.0,3.0,2.0,3686.0,3427.0,223.0,36.0,82.0,82.0,0.0,0.0,548.0,548.0,0.0,0.0,63.0,100.0,72.0,57.0,4095.0,11771.0,20926.0,5568.0,176412.0,201348.0,149024.0,32985.0,229.0,0.0,3424.0,0.0,2010-10-01,2010,4,30,0.37455146364494807,0.6254485363550519,0.40932483474976394,0.5906751652502361,317.0,4234.0,0.0,145.06849315068493,15.685106382978724,5.676753802268282,5.093750200806762,4.859812404361672,10.653959799715343,9.671933733861948,10.184673571244208,13.235279477609803,5.459585514144159,8.212297138229768,4.406719247264253,6.306275286948016,5.75890177387728,8.350902451694811,4.143134726391533,4.605170185988092,8.31752199628717,9.37339415841248,4.977205997447061,2.7527116240856095,0,0,0,0,0,0,1,0
2011.Ⅰ,818.0,482.0,336.0,86897.0,38541.0,48356.0,550903.0,369112.0,181791.0,348.0,335.0,8.0,5.0,4321.0,4075.0,218.0,28.0,838.0,838.0,0.0,0.0,2137.0,2137.0,0.0,0.0,165.0,317.0,185.0,151.0,13663.0,24878.0,41149.0,7207.0,174879.0,194233.0,150903.0,30888.0,327.0,1.0,4033.0,1.0,2011-01-01,2011,1,31,0.4435250929261079,0.5564749070738921,0.36923023809797806,0.6307697619020219,1186.0,6458.0,0.0028735632183908046,106.23105134474328,12.416666666666666,6.706862336602747,6.1779441140506,5.817111159963204,11.372478788217984,10.55947788869972,10.786345588321883,13.219314029080397,5.8522024797744745,8.371242135931933,6.731018100482083,7.667158255319148,7.078341579557671,8.77307495131822,5.10594547390058,5.75890177387728,9.522446728338489,10.12173915776991,4.665616451615238,2.519039656157459,0,0,0,1,0,0,0,0
2011.Ⅱ,227.0,127.0,100.0,47777.0,21133.0,26644.0,559401.0,373640.0,185761.0,213.0,191.0,4.0,18.0,2654.0,2360.0,90.0,204.0,333.0,332.0,0.0,1.0,2348.0,2348.0,0.0,0.0,45.0,82.0,64.0,36.0,6599.0,14534.0,22941.0,3703.0,176376.0,197264.0,153726.0,32035.0,190.0,0.0,2289.0,0.0,2011-04-01,2011,2,32,0.4423258053038073,0.5576741946961927,0.381710865060594,0.618289134939406,546.0,5002.0,0.0,210.4713656387665,12.460093896713616,5.424950017481403,4.844187086458591,4.605170185988092,10.774299631131253,9.958591078762153,10.19031926353307,13.234621847378001,5.3612921657094255,7.8838232148921525,5.808142489980444,7.761319180947987,6.302618975744905,8.517593111437565,3.8066624897703196,4.406719247264253,8.794673401383422,9.584246011176582,5.34934961364985,2.522531049182728,0,0,0,0,1,0,0,0
2011.Ⅲ,746.0,422.0,324.0,81026.0,44357.0,36669.0,568852.0,378226.0,190626.0,329.0,326.0,0.0,3.0,4860.0,4771.0,0.0,89.0,928.0,928.0,0.0,0.0,2027.0,2027.0,0.0,0.0,167.0,255.0,174.0,150.0,29876.0,14481.0,28934.0,7735.0,185171.0,193055.0,156587.0,34039.0,324.0,0.0,4766.0,0.0,2011-07-01,2011,3,33,0.5474415619677634,0.45255843803223655,0.27418359538913434,0.7258164046108656,1257.0,6887.0,0.0,108.61394101876675,14.772036474164134,6.61472560020376,6.045005314036012,5.780743515792329,11.302525369803382,10.700025810683254,10.509686990445372,13.251375573827024,5.796057750765372,8.48879371689454,6.833031732786201,7.614312146452,7.136483208590247,8.837390855544697,5.117993812416755,5.541263545158426,10.304810761476958,9.580592724328602,4.6877997695996205,2.6927359661291677,0,0,0,0,0,1,0,0
2011.Ⅳ,324.0,187.0,137.0,50257.0,28112.0,22145.0,570316.0,386702.0,183614.0,190.0,184.0,4.0,2.0,2462.0,2365.0,87.0,10.0,60.0,60.0,0.0,0.0,1001.0,1001.0,0.0,0.0,68.0,119.0,73.0,64.0,13176.0,14936.0,16428.0,5717.0,194318.0,192384.0,151497.0,32117.0,184.0,0.0,2365.0,0.0,2011-10-01,2011,4,34,0.5593648645959767,0.4406351354040233,0.4109477286746125,0.5890522713253875,250.0,3463.0,0.0,155.1141975308642,12.957894736842105,5.780743515792329,5.231108616854587,4.919980925828125,10.82490511970208,10.243951810426879,10.0053670163573,13.253945872160518,5.247024072160486,7.808729306744399,4.0943445622221,6.90875477931522,5.521460917862246,8.149890544402423,4.219507705176107,4.77912349311153,9.486152271857476,9.611529685221559,5.0441616039097505,2.5617052345839126,0,0,0,0,0,0,1,0
2012.Ⅰ,915.0,571.0,344.0,107968.0,54120.0,53848.0,573312.0,390428.0,182884.0,350.0,321.0,13.0,16.0,5673.0,4743.0,706.0,224.0,1168.0,1168.0,0.0,0.0,2576.0,2576.0,0.0,0.0,223.0,348.0,170.0,174.0,27106.0,27014.0,45062.0,8786.0,200956.0,189472.0,151945.0,30939.0,321.0,0.0,4743.0,0.0,2012-01-01,2012,1,35,0.5012596324836989,0.49874036751630113,0.3315797273266153,0.6684202726733847,1518.0,8249.0,0.0,117.99781420765028,16.208571428571428,6.818924065275521,6.3473892096560105,5.840641657373398,11.58959016590564,10.898959082284724,10.89392054169055,13.259185350126918,5.857933154483459,8.643473357326567,7.0630481633881725,7.853993087224244,7.325148957955575,9.017847259860732,5.407171771460119,5.8522024797744745,10.207510384575961,10.20411052912071,4.770666100630119,2.7855402028431078,0,0,0,1,0,0,0,0
2012.Ⅱ,260.0,157.0,103.0,43074.0,24559.0,18515.0,598369.0,410565.0,187804.0,331.0,322.0,4.0,5.0,4180.0,3841.0,229.0,110.0,129.0,128.0,0.0,1.0,756.0,734.0,0.0,22.0,62.0,95.0,60.0,43.0,6636.0,17923.0,14614.0,3901.0,204817.0,205748.0,156009.0,31795.0,322.0,0.0,3841.0,0.0,2012-04-01,2012,2,36,0.5701583321725403,0.4298416678274597,0.5066629521288945,0.49333704787110555,460.0,4936.0,0.0,165.66923076923078,12.628398791540786,5.560681631015528,5.056245805348308,4.634728988229636,10.670674845804538,10.108833664819757,9.826336493347712,13.301962899487656,5.802118375377063,8.338066525518801,4.859812404361672,6.628041376179533,6.131226489483141,8.504310565585223,4.127134385045092,4.553876891600541,8.800264651310336,9.793840083231597,5.10999321478901,2.535948150141739,0,0,0,0,1,0,0,0
2012.Ⅲ,798.0,478.0,320.0,80316.0,48608.0,31708.0,603053.0,420841.0,182212.0,299.0,294.0,2.0,3.0,4389.0,3995.0,210.0,184.0,910.0,909.0,0.0,1.0,1629.0,1623.0,0.0,6.0,189.0,289.0,160.0,160.0,28197.0,20411.0,25085.0,6623.0,207950.0,212891.0,152659.0,29553.0,291.0,0.0,3966.0,0.0,2012-07-01,2012,3,37,0.6052094227800189,0.39479057721998106,0.33659544798047714,0.6634045520195229,1209.0,6018.0,0.0,100.64661654135338,14.678929765886288,6.682108597449809,6.169610732491456,5.768320995793772,11.293724132888643,10.7915434053955,10.364324293957047,13.309760365710897,5.700443573390687,8.386856689688234,6.813444599510896,7.395721608602045,7.097548850614793,8.70251025718999,5.241747015059643,5.666426688112432,10.246970868288411,9.923829250194043,4.611615535438833,2.6864131162975475,0,0,0,0,0,1,0,0
2012.Ⅳ,337.0,208.0,129.0,60103.0,39104.0,20999.0,609113.0,424753.0,184360.0,253.0,245.0,4.0,4.0,6056.0,5831.0,175.0,50.0,101.0,101.0,0.0,0.0,783.0,783.0,0.0,0.0,107.0,101.0,69.0,60.0,30280.0,8824.0,15703.0,5296.0,212325.0,212428.0,153946.0,30414.0,245.0,0.0,5831.0,0.0,2012-10-01,2012,4,38,0.650616441774953,0.349383558225047,0.23493003677021113,0.7650699632297888,354.0,6839.0,0.0,178.34718100890208,23.936758893280633,5.820082930352362,5.337538079701318,4.859812404361672,11.003815036082822,10.573980042531268,9.952230096524119,13.319759079561848,5.53338948872752,8.708804795117285,4.61512051684126,6.663132695990803,5.869296913133774,8.830396801098097,4.672828834461906,4.61512051684126,10.318242707551384,9.085230560933338,5.183732105730459,3.1754153063897643,0,0,0,0,0,0,1,0
2013.Ⅰ,968.0,624.0,344.0,100875.0,54996.0,45879.0,620270.0,435393.0,184877.0,415.0,407.0,6.0,2.0,6519.0,6115.0,346.0,58.0,1395.0,1395.0,0.0,0.0,2071.0,2071.0,0.0,0.0,245.0,379.0,168.0,176.0,28570.0,26426.0,38784.0,7095.0,226287.0,209106.0,153580.0,31297.0,401.0,2.0,5952.0,158.0,2013-01-01,2013,1,39,0.5451895910780669,0.4548104089219331,0.3323023543990087,0.6676976456009913,1810.0,8590.0,0.004819277108433735,104.20971074380165,15.708433734939758,6.875232087276577,6.436150368369428,5.840641657373398,11.52163740557225,10.915015734297125,10.733762775016233,13.337910146096661,6.028278520230698,8.782476268924539,7.240649694255466,7.635786861395585,7.501082124259871,9.0583540149783,5.501258210544727,5.937536205082426,10.260112495224819,10.182103652974162,4.646405318295673,2.754197748693841,0,0,0,1,0,0,0,0
2013.Ⅱ,277.0,173.0,104.0,60233.0,35205.0,25028.0,625705.0,439361.0,186344.0,191.0,190.0,1.0,0.0,2956.0,2936.0,20.0,0.0,110.0,110.0,0.0,0.0,1305.0,1305.0,0.0,0.0,66.0,107.0,57.0,47.0,6926.0,28279.0,21427.0,3601.0,231856.0,207505.0,154921.0,31423.0,188.0,0.0,2931.0,0.0,2013-04-01,2013,2,40,0.5844802682914682,0.41551973170853185,0.5292779705477064,0.4707220294522936,301.0,4261.0,0.0,217.4476534296029,15.476439790575917,5.6240175061873385,5.153291594497779,4.6443908991413725,11.005975653862587,10.468943396953234,10.127750477118255,13.34663429300455,5.25227342804663,7.991592282068092,4.700480365792417,7.173958319756794,5.707110264748875,8.357259153499912,4.189654742026425,4.672828834461906,8.843037724962366,10.24987475870638,5.381958147675248,2.7393188540214624,0,0,0,0,1,0,0,0
2013.Ⅲ,886.0,568.0,318.0,99319.0,67585.0,31734.0,644000.0,457278.0,186722.0,361.0,355.0,3.0,3.0,5850.0,5243.0,127.0,480.0,1067.0,1067.0,0.0,0.0,1759.0,1759.0,0.0,0.0,205.0,363.0,158.0,160.0,43235.0,24350.0,25129.0,6605.0,245264.0,212014.0,155278.0,31444.0,352.0,0.0,5224.0,0.0,2013-07-01,2013,3,41,0.680484096698517,0.3195159033014831,0.31167248965454747,0.6883275103454526,1428.0,7609.0,0.0,112.0981941309255,16.20498614958449,6.786716950605081,6.342121418721152,5.762051382780177,11.50609217110585,11.121141343917929,10.365143940294034,13.37545400508649,5.8888779583328805,8.674196940225903,6.9726062513017535,7.472500744737558,7.2640301428995295,8.937087036176523,5.3230099791384085,5.8944028342648505,10.674405631394531,10.100287128510736,4.719375220500769,2.7853189818930213,0,0,0,0,0,1,0,0
2013.Ⅳ,363.0,234.0,129.0,50522.0,27460.0,23062.0,645230.0,460228.0,185002.0,199.0,198.0,0.0,1.0,3279.0,3259.0,0.0,20.0,106.0,105.0,0.0,1.0,480.0,471.0,0.0,9.0,76.0,158.0,64.0,65.0,7372.0,20088.0,18106.0,4956.0,242839.0,217389.0,153523.0,31479.0,198.0,0.0,3259.0,0.0,2013-10-01,2013,4,42,0.5435255928110526,0.4564744071889474,0.49570484145520766,0.5042951585447923,305.0,3759.0,0.0,139.17906336088154,16.477386934673365,5.8944028342648505,5.455321115357702,4.859812404361672,10.830164163962701,10.220485679321962,10.045941520331061,13.377362121362397,5.293304824724492,8.095293776844649,4.663439094112067,6.173786103901937,5.720311776607412,8.231908243564177,4.330733340286331,5.062595033026967,8.905444318789714,9.907877900837422,4.93576132969785,2.8019889521201558,0,0,0,0,0,0,1,0
2014.Ⅰ,1024.0,662.0,362.0,93672.0,49522.0,44150.0,646375.0,457766.0,188609.0,330.0,328.0,1.0,1.0,5556.0,5496.0,50.0,10.0,1435.0,1435.0,0.0,0.0,2478.0,2478.0,0.0,0.0,210.0,452.0,172.0,190.0,20153.0,29369.0,37590.0,6560.0,243637.0,214129.0,157089.0,31520.0,325.0,0.0,5466.0,0.0,2014-01-01,2014,1,43,0.5286745238705269,0.47132547612947306,0.38356179007600993,0.6164382099239901,1765.0,8034.0,0.0,91.4765625,16.836363636363636,6.931471805599453,6.495265555937008,5.8916442118257715,11.44755459752856,10.810172294265048,10.695348206032106,13.379135109698522,5.799092654460526,8.622633703874234,7.268920128193722,7.815207062189088,7.475905969367397,8.991437814919227,5.3471075307174685,6.113682179832232,9.911108439667489,10.287694975264353,4.516082791929107,2.8235410494137083,0,0,0,1,0,0,0,0
2014.Ⅱ,273.0,169.0,104.0,37074.0,16624.0,20450.0,640259.0,450823.0,189436.0,153.0,153.0,0.0,0.0,2561.0,2561.0,0.0,0.0,136.0,136.0,0.0,0.0,463.0,463.0,0.0,0.0,55.0,114.0,51.0,53.0,6706.0,9918.0,17076.0,3374.0,243866.0,206957.0,159470.0,29966.0,150.0,0.0,2531.0,0.0,2014-04-01,2014,2,44,0.4484004963046879,0.5515995036953121,0.3585261908615202,0.6414738091384798,289.0,3024.0,0.0,135.8021978021978,16.73856209150327,5.60947179518496,5.1298987149230735,4.6443908991413725,10.520671194289035,9.718602713339008,9.925738161470948,13.369628060971953,5.030437921392435,7.848153086199526,4.912654885736052,6.137727054086234,5.666426688112432,8.014335737299424,4.007333185232471,4.736198448394496,8.810757927026174,9.202106567049078,4.911199399104075,2.81771516480709,0,0,0,0,1,0,0,0
2014.Ⅲ,911.0,558.0,353.0,71461.0,40018.0,31443.0,644578.0,457196.0,187382.0,230.0,228.0,1.0,1.0,3524.0,3465.0,29.0,30.0,653.0,652.0,1.0,0.0,1183.0,1179.0,4.0,0.0,168.0,390.0,167.0,186.0,17352.0,22666.0,23473.0,7970.0,244408.0,212788.0,156931.0,30451.0,227.0,0.0,3460.0,0.0,2014-07-01,2014,3,45,0.5599977610164986,0.4400022389835015,0.4287093659478597,0.5712906340521403,883.0,4707.0,0.0,78.4423710208562,15.321739130434782,6.814542897259958,6.324358962381311,5.8664680569332965,11.176907125322197,10.597084631876438,10.355931661838287,13.37635111808821,5.438079308923196,8.16735198705607,6.481577129276431,7.075808863978387,6.78332520060396,8.456806041401142,5.123963979403259,5.966146739123692,9.761463052506711,10.028621283292894,4.362364228062239,2.7292726781328747,0,0,0,0,0,1,0,0
2014.Ⅳ,395.0,245.0,150.0,49416.0,25991.0,23425.0,635822.0,446435.0,189387.0,214.0,212.0,0.0,2.0,3732.0,3702.0,0.0,30.0,111.0,111.0,0.0,0.0,550.0,550.0,0.0,0.0,83.0,162.0,77.0,73.0,8897.0,17094.0,18514.0,4911.0,245405.0,201030.0,157554.0,31833.0,210.0,0.0,3692.0,0.0,2014-10-01,2014,4,46,0.5259632507689818,0.4740367492310183,0.44530111704711023,0.5546988829528897,325.0,4282.0,0.0,125.10379746835443,17.439252336448597,5.978885764901122,5.501258210544727,5.0106352940962555,10.808029537375734,10.165505603232393,10.061559107106623,13.362673928936326,5.365976015021851,8.224699561967235,4.709530201312334,6.309918278226516,5.783825182329737,8.362175469149628,4.418840607796598,5.087596335232384,9.093469420244768,9.746482803725963,4.829143772474613,2.8587235469453827,0,0,0,0,0,0,1,0
2015.Ⅰ,1112.0,725.0,387.0,96953.0,52810.0,44143.0,666628.0,473518.0,193110.0,350.0,331.0,2.0,17.0,5097.0,4767.0,92.0,238.0,1360.0,1359.0,1.0,0.0,1982.0,1972.0,10.0,0.0,210.0,515.0,161.0,226.0,22044.0,30766.0,34952.0,9191.0,259857.0,213661.0,160848.0,32262.0,325.0,1.0,4733.0,25.0,2015-01-01,2015,1,47,0.5446969150000516,0.4553030849999484,0.4121275257083329,0.5878724742916671,1710.0,7079.0,0.002857142857142857,87.18794964028777,14.562857142857142,7.013915474810528,6.586171654854675,5.958424693029782,11.481981603977506,10.874455845700979,10.695189643065287,13.409987448174045,5.857933154483459,8.536407410340042,7.215239978730097,7.591861714889934,7.444248649496705,8.86488793377419,5.3471075307174685,6.244166900663736,10.000795735003125,10.334165463115696,4.468066129166978,2.678474255856582,0,0,0,1,0,0,0,0
2015.Ⅱ,313.0,191.0,122.0,48349.0,23710.0,24639.0,671110.0,477239.0,193871.0,162.0,153.0,0.0,9.0,2559.0,2463.0,0.0,96.0,92.0,92.0,0.0,0.0,579.0,579.0,0.0,0.0,78.0,113.0,58.0,64.0,13585.0,10125.0,21210.0,3429.0,262682.0,214557.0,160757.0,33114.0,152.0,0.0,2453.0,0.0,2015-04-01,2015,2,48,0.4903927692403152,0.5096072307596848,0.28033671844298746,0.7196632815570125,254.0,3138.0,0.0,154.4696485623003,15.796296296296296,5.746203190540153,5.25227342804663,4.804021044733257,10.786200818144286,10.07365217905945,10.112085832408303,13.416688336944269,5.087596335232384,7.847371836159788,4.5217885770490405,6.361302477572996,5.537334267018537,8.051340933292979,4.356708826689592,4.727387818712341,9.516721521860449,9.22276289197474,5.039997627604133,2.7597755009274048,0,0,0,0,1,0,0,0
2015.Ⅲ,927.0,551.0,376.0,71435.0,36235.0,35200.0,681895.0,487087.0,194808.0,303.0,285.0,12.0,6.0,3279.0,2818.0,383.0,78.0,711.0,709.0,2.0,0.0,1141.0,1132.0,9.0,0.0,177.0,374.0,149.0,227.0,14967.0,21268.0,29053.0,6147.0,266047.0,221040.0,161352.0,33456.0,271.0,0.0,2690.0,0.0,2015-07-01,2015,3,49,0.5072443480086792,0.49275565199132076,0.3837754602085812,0.6162245397914188,1014.0,4420.0,0.0,77.0604099244876,10.821782178217822,6.831953565565855,6.311734809152915,5.929589143389895,11.176543224299259,10.497780781543382,10.468801361586188,13.432630966028423,5.713732805509369,8.095293776844649,6.566672429803241,7.039660349862076,6.921658184151129,8.393894975071744,5.176149732573829,5.924255797414532,9.613603056529147,9.964958874624228,4.344589658733403,2.381560971335279,0,0,0,0,0,1,0,0
2015.Ⅳ,444.0,283.0,161.0,59568.0,39576.0,19992.0,699566.0,503207.0,196359.0,212.0,200.0,0.0,12.0,3013.0,2832.0,0.0,181.0,115.0,115.0,0.0,0.0,231.0,231.0,0.0,0.0,99.0,184.0,70.0,91.0,10589.0,28987.0,16517.0,3475.0,267329.0,235878.0,162629.0,33730.0,196.0,0.0,2723.0,0.0,2015-10-01,2015,4,50,0.6643835616438356,0.3356164383561644,0.5449570239054526,0.4550429760945474,327.0,3244.0,0.0,134.16216216216216,14.212264150943396,6.095824562432225,5.645446897643238,5.081404364984463,10.994873796112499,10.585978152907545,9.903087472514787,13.458215421746061,5.356586274672012,8.0106915391303,4.74493212836325,5.442417710521793,5.7899601708972535,8.084562415235304,4.59511985013459,5.214935757608986,9.267571005430455,10.274602732600881,4.899049233680273,2.6541052644582885,0,0,0,0,0,0,1,0
2016.Ⅰ,1206.0,750.0,456.0,105657.0,61316.0,44341.0,706435.0,510640.0,195795.0,270.0,260.0,3.0,7.0,3748.0,3582.0,47.0,119.0,1111.0,1110.0,0.0,1.0,1737.0,1713.0,0.0,24.0,210.0,540.0,176.0,280.0,27192.0,34124.0,38023.0,6318.0,275539.0,235101.0,161192.0,34603.0,256.0,0.0,3521.0,0.0,2016-01-01,2016,1,51,0.5803306927132135,0.4196693072867865,0.3827668777269845,0.6172331222730155,1381.0,5485.0,0.0,87.6094527363184,13.881481481481481,7.095064377287131,6.620073206530356,6.1224928095143865,11.567953277356672,11.023796099285997,10.699665035915537,13.467986474043343,5.598421958998375,8.228977643358313,7.01301578963963,7.459914766241105,7.2305631534092925,8.609772372709331,5.3471075307174685,6.29156913955832,10.210678091375952,10.437756228028585,4.472888900069542,2.6305556843599383,0,0,0,1,0,0,0,0
2016.Ⅱ,355.0,216.0,139.0,52398.0,29423.0,22975.0,706309.0,511889.0,194420.0,180.0,159.0,5.0,16.0,3131.0,2997.0,118.0,16.0,125.0,124.0,0.0,1.0,229.0,228.0,0.0,1.0,78.0,138.0,61.0,78.0,17659.0,11764.0,18934.0,4041.0,281350.0,230539.0,158676.0,35744.0,157.0,0.0,2892.0,0.0,2016-04-01,2016,2,52,0.5615290659948853,0.4384709340051147,0.3016336501393183,0.6983663498606817,305.0,3360.0,0.0,147.6,17.394444444444446,5.872117789475416,5.375278407684165,4.9344739331306915,10.866623701641787,10.289531960404688,10.042161947223887,13.46780809777654,5.19295685089021,8.049107721326406,4.8283137373023015,5.43372200355424,5.720311776607412,8.11969625295725,4.356708826689592,4.927253685157205,9.779000847413124,9.372799299673886,4.994505912166372,2.8561508704361955,0,0,0,0,1,0,0,0
2016.Ⅲ,969.0,597.0,372.0,92677.0,55909.0,36768.0,727842.0,526448.0,201394.0,320.0,284.0,25.0,11.0,6858.0,5817.0,436.0,605.0,577.0,577.0,0.0,0.0,668.0,668.0,0.0,0.0,183.0,414.0,146.0,226.0,32152.0,23757.0,29929.0,6839.0,293863.0,232585.0,164247.0,37147.0,269.0,0.0,5477.0,0.0,2016-07-01,2016,3,53,0.603267261564358,0.39673273843564205,0.3301358481608166,0.6698641518391834,897.0,7526.0,0.0,95.64189886480908,21.43125,6.876264611890766,6.391917113392602,5.918893854273146,11.436875608579165,10.931480647972702,10.512383180648483,13.497839270656728,5.768320995793772,8.833171133022866,6.3578422665081,6.504288173536645,6.799055862058796,8.926118971153382,5.209486152841421,6.025865973825314,10.378229936129037,10.075632502878522,4.560610996688399,3.0648501372290933,0,0,0,0,0,1,0,0
2016.Ⅳ,539.0,346.0,193.0,52676.0,30599.0,22077.0,740610.0,539949.0,200661.0,227.0,219.0,3.0,5.0,3388.0,2895.0,43.0,450.0,87.0,87.0,0.0,0.0,288.0,288.0,0.0,0.0,118.0,228.0,71.0,122.0,9505.0,21094.0,17500.0,4577.0,297170.0,242779.0,164137.0,36524.0,214.0,0.0,2558.0,0.0,2016-10-01,2016,4,54,0.5808907282253778,0.4191092717746222,0.4873376869921786,0.5126623130078214,314.0,3676.0,0.0,97.7291280148423,14.92511013215859,6.289715570908998,5.846438775057725,5.262690188904886,10.871915222830111,10.328722607667915,10.00229162159471,13.515229449935978,5.424950017481403,8.127995055771946,4.465908118654584,5.662960480135946,5.749392985908253,8.209580483475577,4.770684624465665,5.429345628954441,9.15957325492253,9.95674391883656,4.582199651921114,2.703045038290542,0,0,0,0,0,0,1,0
2017.Ⅰ,1196.0,725.0,471.0,101015.0,60045.0,40970.0,742348.0,539490.0,202858.0,434.0,363.0,20.0,51.0,6436.0,4213.0,966.0,1257.0,892.0,892.0,0.0,0.0,1117.0,1117.0,0.0,0.0,188.0,537.0,152.0,319.0,23694.0,36351.0,31936.0,9034.0,291454.0,248036.0,164201.0,38657.0,353.0,0.0,4067.0,0.0,2017-01-01,2017,1,55,0.5944166707914667,0.4055833292085334,0.44928970944909175,0.5507102905509083,1326.0,7553.0,0.0,84.46070234113712,14.829493087557603,7.086737934510577,6.586171654854675,6.154858094016418,11.523024299647643,11.002849560094784,10.620595370540917,13.517573414897546,6.073044534100405,8.769662508112274,6.79346613258001,7.018401799069201,7.189922170745808,8.929700114313448,5.236441962829949,6.285998094508865,10.072977130514705,10.500976992899632,4.436286365137065,2.6966179740118688,0,0,0,1,0,0,0,0
2017.Ⅱ,369.0,207.0,162.0,47755.0,24208.0,23547.0,754547.0,544258.0,210289.0,256.0,243.0,2.0,11.0,4841.0,4223.0,63.0,555.0,98.0,98.0,0.0,0.0,270.0,270.0,0.0,0.0,55.0,152.0,58.0,104.0,4853.0,19355.0,19564.0,3983.0,289876.0,254382.0,171758.0,38531.0,184.0,1.0,3232.0,950.0,2017-04-01,2017,2,56,0.5069207412836352,0.49307925871636477,0.48870275363836246,0.5112972463616375,354.0,5111.0,0.00390625,129.41734417344173,18.91015625,5.910796644040527,5.332718793265369,5.087596335232384,10.773839052468839,10.094438436028137,10.066753702794923,13.53387284815913,5.545177444479562,8.484876589939695,4.584967478670572,5.598421958998375,5.869296913133774,8.53915035876828,4.007333185232471,5.0238805208462765,8.487352349405215,9.870706063011749,4.863042408428311,2.939699145460132,0,0,0,0,1,0,0,0
2017.Ⅲ,1016.0,582.0,434.0,69520.0,39198.0,30322.0,753628.0,552111.0,201517.0,394.0,357.0,6.0,31.0,6963.0,5457.0,743.0,763.0,468.0,468.0,0.0,0.0,555.0,555.0,0.0,0.0,161.0,421.0,147.0,287.0,15726.0,23472.0,23637.0,6685.0,291362.0,260749.0,163535.0,37982.0,351.0,0.0,5257.0,0.0,2017-07-01,2017,3,57,0.5638377445339471,0.4361622554660529,0.433788837744534,0.5662111622554661,862.0,7518.0,0.0,68.4251968503937,17.67258883248731,6.923628628138427,6.366470447731438,6.073044534100405,11.149369759939274,10.576381004068805,10.319628800641526,13.532654156543446,5.976350909297934,8.848365694942547,6.148468295917647,6.318968113746434,6.759255270663693,8.925055424124123,5.081404364984463,6.042632833682381,9.663070672551461,10.063563500382763,4.225741131800847,2.872014785644613,0,0,0,0,0,1,0,0
