size_cat,coef,se,pvalue,stars,N,R2,n_bureaus
large,-0.056145859612353764,0.019118994062933277,0.0033227403257811705,***,15436,0.0028634045526554353,17
medium,-0.10247221840413283,0.02954796876368763,0.0005259057416702184,***,14528,0.005792974590107747,16
small,-0.10076957060196146,0.03177362316762533,0.0015196422272170107,***,15436,0.004849942267521223,17
