日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）
日付,始値,高値,安値,終値,始値,高値,安値,終値,指数（2020年＝100）,1ドルにつき円,新規/総合/国内銀行,[国内企業物価指数] 総平均（前年比）
2021年8月,"27,493.32","28,279.80","26,954.81","28,089.54","1,917.65","1,970.38","1,877.38","1,960.70",99.6 ,109.82,0.57,5.7
2021年7月,"28,832.41","28,852.31","27,272.49","27,283.59","1,949.20","1,973.35","1,881.01","1,901.08",99.6 ,109.53,0.635,5.6
2021年6月,"28,998.65","29,480.85","27,795.86","28,791.53","1,930.74","1,983.13","1,890.15","1,943.57",99.5 ,110.55,0.465,5
2021年5月,"29,024.01","29,685.41","27,385.03","28,860.08","1,919.10","1,955.51","1,845.72","1,922.98",99.4 ,109.72,0.608,5
2021年4月,"29,441.91","30,208.89","28,419.84","28,812.63","1,971.78","1,989.09","1,879.68","1,898.24",99.0 ,108.89,0.644,3.8
2021年3月,"29,419.45","30,485.00","28,308.57","29,178.80","1,888.61","2,013.71","1,859.88","1,954.00",99.9 ,110.74,0.645,1
2021年2月,"27,649.07","30,714.52","27,649.07","28,966.01","1,806.63","1,974.99","1,806.63","1,864.49",99.8 ,106.09,0.536,-0.9
2021年1月,"27,575.57","28,979.53","27,002.18","27,663.39","1,810.45","1,885.93","1,776.60","1,808.78",99.9 ,104.55,0.658,-1.8
2020年12月,"26,624.20","27,602.52","26,327.08","27,444.17","1,765.55","1,819.46","1,751.63","1,804.68",99.3 ,103.33,0.494,-2.1
2020年11月,"23,110.74","26,834.20","23,096.79","26,433.62","1,592.16","1,792.97","1,591.49","1,754.92",99.6 ,104.03,0.761,-2.4
2020年10月,"23,185.12","23,725.58","22,948.47","22,977.13","1,625.49","1,660.49","1,577.45","1,579.33",100.0 ,104.36,0.785,-2.2
2020年9月,"23,089.63","23,622.74","22,878.71","23,185.12","1,613.64","1,665.90","1,593.89","1,625.49",100.1 ,105.62,0.68,-0.8
2020年8月,"21,947.58","23,431.04","21,919.83","23,139.76","1,510.23","1,636.57","1,508.13","1,618.18",100.2 ,105.83,0.748,-0.6
2020年7月,"22,338.30","22,965.56","21,710.00","21,710.00","1,562.30","1,590.62","1,496.06","1,496.06",100.1 ,104.45,0.689,-0.9
2020年6月,"21,910.89","23,185.85","21,529.83","22,288.14","1,563.81","1,633.40","1,530.78","1,558.77",100.0 ,107.73,0.469,-1.6
2020年5月,"19,991.97","21,955.44","19,448.93","21,877.89","1,452.46","1,578.50","1,418.88","1,563.67",100.1 ,107.21,0.544,-2.7
2020年4月,"18,686.12","20,365.89","17,646.50","20,193.69","1,388.66","1,478.84","1,314.11","1,464.03",100.1 ,106.6,0.671,-2.4
2020年3月,"20,849.79","21,719.78","16,358.19","18,917.01","1,488.96","1,551.99","1,199.25","1,403.04",100.1 ,108.42,0.639,-0.4
2020年2月,"22,874.27","23,995.37","20,916.40","21,142.96","1,660.66","1,744.43","1,500.87","1,510.87",100.1 ,108.84,0.599,0.7
2020年1月,"23,319.76","24,115.95","22,892.95","23,205.18","1,699.60","1,745.95","1,667.30","1,684.44",100.3 ,109.04,0.71,1.5
2019年12月,"23,388.63","24,091.12","23,044.78","23,656.62","1,705.99","1,747.20","1,691.15","1,721.36",100.4 ,109.15,0.567,0.9
2019年11月,"22,730.49","23,608.06","22,705.60","23,293.91","1,653.80","1,719.57","1,653.72","1,699.36",100.4 ,109.5,0.685,0.1
2019年10月,"21,831.44","23,008.43","21,276.01","22,927.04","1,595.35","1,669.91","1,560.83","1,667.01",100.4 ,108.61,0.665,-0.4
2019年9月,"20,625.75","22,255.56","20,554.16","21,755.84","1,506.12","1,635.88","1,501.11","1,587.80",100.1 ,107.86,0.658,-1.1
2019年8月,"21,361.58","21,556.69","20,110.76","20,704.37","1,556.12","1,568.41","1,462.41","1,511.86",100.1 ,106.52,0.727,-0.9
2019年7月,"21,566.27","21,823.07","20,993.44","21,521.53","1,573.09","1,593.50","1,531.31","1,565.14",99.8 ,108.56,0.753,-0.7
2019年6月,"20,327.87","21,497.82","20,289.64","21,275.92","1,491.54","1,563.45","1,490.28","1,551.14",99.9 ,107.64,0.576,-0.2
2019年5月,"22,184.40","22,190.49","20,581.58","20,601.19","1,616.84","1,617.26","1,508.85","1,512.28",100.0 ,108.78,0.706,0.6
2019年4月,"21,500.89","22,362.92","21,471.12","22,258.73","1,612.13","1,633.96","1,600.49","1,617.93",100.0 ,111.68,0.626,1.3
2019年3月,"21,490.02","21,860.39","20,911.57","21,205.81","1,612.47","1,629.88","1,570.39","1,591.64",99.8 ,110.75,0.637,1.3
2019年2月,"20,797.03","21,610.88","20,315.31","21,385.16","1,565.63","1,624.42","1,536.65","1,607.66",99.7 ,110.76,0.637,0.9
2019年1月,"19,655.13","20,892.68","19,241.37","20,773.49","1,468.42","1,574.86","1,446.48","1,567.49",99.7 ,108.73,0.729,0.5
2018年12月,"22,629.39","22,698.79","18,948.58","20,014.77","1,687.77","1,696.14","1,408.89","1,494.09",99.6 ,110.4,0.658,1.4
2018年11月,"21,906.41","22,583.43","21,243.38","22,351.06","1,647.10","1,687.68","1,598.54","1,667.45",99.9 ,113.47,0.745,2.2
2018年10月,"24,173.37","24,448.07","20,971.93","21,920.46","1,814.05","1,838.30","1,581.56","1,646.12",100.1 ,113.2,0.685,3
2018年9月,"22,819.17","24,286.10","22,172.90","24,120.04","1,730.77","1,828.23","1,673.92","1,817.25",99.8 ,113.44,0.741,3
2018年8月,"22,642.18","23,032.17","21,851.32","22,865.15","1,762.92","1,774.34","1,667.95","1,735.35",99.8 ,110.81,0.732,3.1
2018年7月,"22,233.80","22,949.32","21,462.95","22,553.72","1,725.55","1,775.76","1,671.95","1,753.29",99.3 ,111.4,0.767,3.1
2018年6月,"22,126.25","23,011.57","22,038.40","22,304.51","1,742.65","1,802.94","1,711.75","1,730.89",99.2 ,110.64,0.61,2.9
2018年5月,"22,453.42","23,050.39","21,931.65","22,201.82","1,774.36","1,819.74","1,731.28","1,747.45",99.3 ,108.77,0.673,2.7
2018年4月,"21,441.57","22,495.56","21,056.02","22,467.87","1,716.32","1,780.38","1,687.00","1,777.23",99.2 ,109.4,0.635,2.2
2018年3月,"21,901.13","21,971.16","20,347.49","21,454.30","1,754.43","1,754.53","1,645.16","1,716.30",99.3 ,106.19,0.6,2
2018年2月,"23,276.10","23,492.77","20,950.15","22,068.24","1,849.53","1,870.94","1,691.65","1,768.24",99.5 ,107.08,0.692,2.5
2018年1月,"23,073.73","24,129.34","23,065.20","23,098.29","1,841.20","1,911.31","1,836.68","1,836.71",99.5 ,108.7,0.725,2.7
2017年12月,"22,916.93","22,994.33","22,119.21","22,764.94","1,804.80","1,833.28","1,761.18","1,817.56",99.4 ,112.65,0.751,3
